Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Structural Adherence,Adaptive Fluidity,Interpersonal Influence,Execution Velocity,Psychological Resilience,Job Hopping
111,Austin Hunter,"Java, React",9,B.Tech,Google ML,Software Engineer,Hire,117897,0,96,1,3,2,2,4,High
112,Richard Jones MD,"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,Hire,59033,4,93,3,3,3,3,2,Low
113,Sydney Nelson,"SQL, Python, Machine Learning, Deep Learning",3,MBA,Deep Learning Specialization,Data Scientist,Hire,102054,1,69,3,4,3,3,5,Low
114,Paula Mills,"Pytorch, TensorFlow",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,98413,3,31,5,3,2,2,1,Low
115,Meagan King,"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,Reject,85561,2,52,3,3,4,3,5,Medium
116,Tina Smith,"NLP, TensorFlow, Pytorch",9,PhD,,AI Researcher,Hire,88498,9,94,3,3,2,3,3,High
117,Mr. David Boyle,"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,,Cybersecurity Analyst,Hire,101100,10,100,3,5,3,3,3,Low
118,Mariah Randolph,"React, C++, Java",5,PhD,AWS Certified,Software Engineer,Hire,72099,10,96,2,3,2,2,1,Low
119,Sandra Freeman,"React, Java, SQL",4,MBA,Google ML,Software Engineer,Hire,99599,9,94,4,3,1,4,3,High
120,Joseph Carroll,"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,68881,8,98,4,4,3,5,2,Low
121,Cynthia Espinoza,"Java, React",6,B.Sc,Google ML,Software Engineer,Hire,62463,0,76,4,4,5,3,2,Medium
122,Robert Carey,"Python, TensorFlow, Pytorch, NLP",4,B.Sc,AWS Certified,AI Researcher,Hire,47581,2,80,2,4,4,2,3,Low
123,Stephen Mcdonald,"Linux, Networking, Cybersecurity, Ethical Hacking",7,PhD,,Cybersecurity Analyst,Hire,91604,3,100,4,4,3,3,4,Low
124,Haley Gonzalez,"SQL, Java",1,PhD,AWS Certified,Software Engineer,Hire,74663,9,75,2,2,3,3,3,Low
125,Jaime Wilson,"Java, C++, React",6,MBA,AWS Certified,Software Engineer,Hire,64025,10,100,4,5,3,3,3,Low
126,Taylor Cunningham,"SQL, Python",9,B.Sc,Deep Learning Specialization,Data Scientist,Hire,66133,2,96,5,2,4,4,2,Medium
127,Sophia Bradley,"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Deep Learning Specialization,Data Scientist,Hire,95222,5,92,2,3,2,1,2,High
128,Gary Hanson,"Pytorch, Python",3,MBA,Deep Learning Specialization,AI Researcher,Reject,48726,0,54,2,2,4,4,5,Low
129,Michael Ingram,"Linux, Networking, Ethical Hacking, Cybersecurity",8,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,111242,5,96,3,3,4,3,2,Medium
130,Shannon Alvarez,"Python, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,Reject,91770,0,59,2,3,4,3,5,Low
131,Jonathan Howard,"NLP, Python, Pytorch, TensorFlow",1,B.Sc,AWS Certified,AI Researcher,Reject,113470,4,60,1,3,3,3,3,Low
132,Rebecca Reynolds,"Java, C++, SQL",0,B.Sc,,Software Engineer,Reject,103202,3,30,3,3,3,3,3,Low
133,Eric Gregory,"Ethical Hacking, Networking, Linux, Cybersecurity",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,114147,4,96,2,5,4,1,4,High
134,Brad Stephens,"C++, Java, React, SQL",1,PhD,,Software Engineer,Reject,116556,0,30,3,3,4,4,4,Medium
135,Paul Castro,"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,Hire,60828,3,98,2,3,3,3,3,Medium
136,Elizabeth Williamson,"Networking, Cybersecurity",7,B.Sc,,Cybersecurity Analyst,Hire,42894,0,78,5,4,2,3,3,Medium
137,Mason Jones,"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,,Cybersecurity Analyst,Hire,114988,5,78,2,4,3,4,3,Medium
138,Jean Clark,"Machine Learning, Python, SQL",10,M.Tech,Google ML,Data Scientist,Hire,88678,3,94,3,2,5,2,3,High
139,Tyler Henderson,"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,,Data Scientist,Hire,60868,7,95,4,4,2,3,4,Medium
140,Jamie Robertson,"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Google ML,Cybersecurity Analyst,Hire,93303,1,59,2,4,2,3,3,High
141,Ronald Thomas,"Deep Learning, Python, SQL",3,B.Sc,Google ML,Data Scientist,Hire,64716,2,67,3,3,3,4,4,Low
142,Ashley Peters,"Cybersecurity, Ethical Hacking, Linux",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,59885,2,100,4,4,3,1,5,Low
143,Thomas Davis,"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,,Data Scientist,Hire,89620,3,85,1,3,3,3,3,Low
144,David Krause,"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,83474,0,100,3,3,3,2,3,Low
145,Tabitha Clark,"TensorFlow, Pytorch, Python",5,B.Tech,Google ML,AI Researcher,Hire,79333,5,96,3,3,3,3,1,Low
146,Catherine Garcia,"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,Hire,58221,8,96,4,3,4,3,1,Low
147,Dawn Brown,"SQL, Python, Deep Learning, Machine Learning",10,PhD,,Data Scientist,Hire,119703,1,98,2,2,1,2,3,Medium
148,Joshua Hughes,"Python, Machine Learning",8,PhD,AWS Certified,Data Scientist,Hire,95978,4,100,2,2,2,2,3,Low
149,Laurie Cervantes,"TensorFlow, NLP, Pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,63269,0,83,4,5,3,3,2,Low
150,Shannon Johnson,"Python, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,83152,2,100,3,2,1,2,3,Low
151,Karen Peters,"Ethical Hacking, Networking, Linux",3,B.Tech,Google ML,Cybersecurity Analyst,Hire,118508,7,84,3,2,3,4,3,High
152,Jacqueline Lee,"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,Hire,99537,10,100,3,1,5,3,4,Low
153,Dale Williams,"Python, Machine Learning, SQL, Deep Learning",7,PhD,AWS Certified,Data Scientist,Hire,62092,2,100,2,2,3,1,3,Low
154,Victoria Kennedy,"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Google ML,Data Scientist,Hire,65981,0,96,3,2,3,3,2,Medium
155,Brandon Ruiz,"Ethical Hacking, Linux, Cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,53855,8,100,3,5,2,2,4,Medium
156,Anthony Neal,"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,,Cybersecurity Analyst,Hire,98876,2,90,2,4,2,1,3,Low
157,Paul Wallace,"Linux, Ethical Hacking, Networking, Cybersecurity",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,59082,5,100,5,2,3,2,4,Low
158,Renee Odonnell DDS,"Pytorch, TensorFlow, Python",2,PhD,,AI Researcher,Reject,85955,1,40,3,5,3,3,3,Low
159,Christopher White,"Ethical Hacking, Linux",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,113676,9,92,2,4,4,4,2,High
160,Margaret Holmes,"Cybersecurity, Linux",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,118103,1,45,4,3,4,3,3,Low
161,Michael Le,"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,Hire,112466,9,95,2,1,2,2,3,Low
162,Patricia Scott,"SQL, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,Hire,99076,8,100,4,5,3,3,3,Low
163,Katie Wall,"Linux, Cybersecurity",5,M.Tech,,Cybersecurity Analyst,Hire,115234,10,100,4,2,3,3,3,Low
164,Steven Johnson,"TensorFlow, NLP, Python",1,M.Tech,,AI Researcher,Reject,76442,2,29,2,1,4,2,1,Medium
165,Rhonda Green,"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,Hire,117704,10,100,4,4,5,2,3,Low
166,Christopher Fletcher,"Deep Learning, SQL",2,PhD,,Data Scientist,Reject,89120,3,47,3,5,2,1,4,Low
167,Joel Hansen,"Pytorch, NLP, Python",3,M.Tech,AWS Certified,AI Researcher,Hire,76100,6,85,4,4,2,3,3,Low
168,Katherine Cabrera,"Networking, Cybersecurity, Ethical Hacking",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,63016,7,80,5,4,2,3,3,Low
169,Shawn Schmidt,"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,Hire,68144,2,100,3,4,3,3,4,Low
170,Ruth Prince,"Python, Machine Learning",7,M.Tech,,Data Scientist,Hire,98540,0,76,2,4,3,3,2,Medium
171,Scott Gray,"Networking, Ethical Hacking, Cybersecurity",8,MBA,,Cybersecurity Analyst,Hire,44474,1,94,2,4,4,2,1,Medium
172,Lisa Lawson,"Deep Learning, SQL, Python",3,B.Sc,AWS Certified,Data Scientist,Hire,50781,6,79,2,3,3,4,3,High
173,Brenda Crawford,"React, SQL, C++",3,B.Tech,Google ML,Software Engineer,Hire,100722,5,78,3,3,3,2,3,Medium
174,Phillip Shaw,"SQL, Python",9,PhD,Deep Learning Specialization,Data Scientist,Hire,69101,8,96,3,3,3,4,2,Medium
175,Lisa Jones,"Machine Learning, Deep Learning, Python, SQL",6,MBA,,Data Scientist,Hire,76085,4,100,3,2,2,2,3,Low
176,Dillon Hoffman,"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,Hire,57223,2,98,4,3,5,2,3,Medium
177,Eric Mendez,"C++, React",1,MBA,,Software Engineer,Reject,55836,3,33,3,1,1,2,3,Medium
178,Terry Kaufman,"SQL, Deep Learning, Python, Machine Learning",8,B.Sc,Google ML,Data Scientist,Hire,118651,5,98,4,3,3,2,3,Medium
179,Andrea Clark,"Pytorch, TensorFlow",3,MBA,,AI Researcher,Hire,81415,7,79,3,2,5,4,5,Low
180,Erin Maynard,"Networking, Cybersecurity, Ethical Hacking",8,MBA,,Cybersecurity Analyst,Hire,65748,4,100,5,2,3,4,3,Low
181,Jared Gonzalez,"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,Hire,54170,7,98,4,3,3,4,3,Medium
182,Stephen Nichols,"Machine Learning, Deep Learning, SQL, Python",1,PhD,,Data Scientist,Hire,60495,7,61,2,4,3,4,2,Medium
183,Caleb Tucker,"Pytorch, NLP",0,B.Sc,,AI Researcher,Reject,42924,7,37,2,4,3,2,2,High
184,Caitlin Turner,"SQL, Deep Learning, Python",5,PhD,,Data Scientist,Hire,89654,3,78,3,1,4,3,2,Low
185,Justin Myers Jr.,"React, Java, C++, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,89830,3,100,3,2,1,2,3,Low
186,Anthony Benson,"Java, C++, React, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,64162,7,100,4,4,5,4,3,Low
187,Valerie Morrison,"Pytorch, Python",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,44226,7,57,3,2,2,2,5,Medium
188,Mary Wilson,"NLP, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,Reject,65417,3,38,3,3,3,4,2,Low
189,Evelyn Porter,"SQL, Python, Machine Learning, Deep Learning",3,M.Tech,Google ML,Data Scientist,Hire,65930,5,85,2,4,3,4,3,Low
190,Scott Salinas,"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,Hire,58162,5,59,1,2,4,5,3,High
191,Rachel Bridges,"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,59707,8,100,3,3,1,3,3,Low
